id;id_vendor;filial;date;value;vehicle
1;141;filial_2;26-02-2022 07:04:46;860274;Rolls Royce Aventador
2;54;filial_2;14-02-2022 05:15:49;451149;Tesla F-150
3;460;filial_3;15-04-2022 01:15:41;972515;Rolls Royce Taurus
4;397;filial_1;11-03-2022 01:05:32;661196;Lamborghini Colorado
5;493;filial_3;20-02-2022 01:07:00;280032;Ferrari PT Cruiser
6;334;filial_1;04-02-2022 09:59:10;445388;Hyandai Element
7;98;filial_1;07-03-2022 06:57:28;895646;Bugatti LeBaron
8;124;filial_3;26-02-2022 10:27:42;437181;Land Rover Camaro
9;123;filial_2;04-03-2022 11:20:00;285897;Dodge LeBaron
10;470;filial_2;21-02-2022 06:08:57;364562;Hyandai Aventador
11;85;filial_1;02-05-2022 04:10:03;58986;Hyandai Colorado
12;305;filial_1;19-05-2022 08:33:44;989254;Chevrolet Grand Caravan
13;492;filial_1;05-04-2022 09:31:41;402677;Honda Grand Caravan
14;61;filial_2;12-04-2022 03:21:35;328673;Nissan Mercielago
15;430;filial_2;04-04-2022 11:52:07;397546;Jaguar Expedition
16;423;filial_2;13-05-2022 09:03:03;260229;Aston Martin Fiesta
17;379;filial_1;18-05-2022 01:04:20;805449;Chrysler Grand Cherokee
18;485;filial_3;02-05-2022 01:22:51;513746;Mercedes Benz Challenger
19;349;filial_3;26-02-2022 02:23:23;423101;Bugatti Golf
20;57;filial_1;03-04-2022 12:29:33;297470;Audi Cruze
21;188;filial_1;15-03-2022 10:05:15;231219;Porsche Expedition
22;189;filial_2;03-04-2022 12:02:22;525440;Jaguar Jetta
23;91;filial_1;29-04-2022 02:47:36;257272;Nissan Cruze
24;365;filial_2;02-03-2022 10:31:26;422231;Fiat Mustang
25;329;filial_1;30-03-2022 10:30:57;272627;Maserati Mustang
26;377;filial_3;20-02-2022 09:32:58;828215;Volkswagen Cruze
27;415;filial_1;18-03-2022 07:06:13;783474;Volkswagen 911
28;35;filial_2;01-03-2022 05:26:26;486025;Kia A4
29;407;filial_2;13-03-2022 09:42:30;865774;Chevrolet Taurus
30;277;filial_2;28-04-2022 05:46:04;608837;Audi PT Cruiser
31;197;filial_1;21-02-2022 12:58:34;230048;Porsche Expedition
32;165;filial_1;01-04-2022 11:48:43;122743;Jeep Charger
33;256;filial_2;07-02-2022 10:23:06;207706;Land Rover Ranchero
34;488;filial_2;12-04-2022 04:02:04;251110;Volkswagen Model 3
35;458;filial_2;15-03-2022 02:13:35;74133;Ferrari Civic
36;4;filial_1;16-03-2022 04:14:13;551557;Chevrolet LeBaron
37;484;filial_1;28-03-2022 04:14:14;628927;Land Rover Mustang
38;240;filial_2;22-02-2022 02:26:38;963925;Ferrari Land Cruiser
39;349;filial_2;20-03-2022 06:22:06;577343;BMW Charger
40;389;filial_2;18-05-2022 11:39:41;407855;Rolls Royce Sentra
41;17;filial_1;30-05-2022 03:33:42;75337;BMW Volt
42;356;filial_2;25-02-2022 03:18:35;193549;Hyandai Grand Caravan
43;258;filial_2;18-04-2022 11:54:59;267571;Dodge Countach
44;131;filial_1;27-04-2022 06:24:19;455714;Tesla Volt
45;188;filial_3;11-02-2022 12:46:18;424061;Hyandai CTS
46;22;filial_1;24-05-2022 10:50:56;83030;Lamborghini Durango
47;287;filial_1;23-05-2022 06:28:53;523642;Honda Spyder
48;449;filial_2;01-05-2022 10:42:07;626307;Chevrolet Accord
49;235;filial_1;09-02-2022 11:59:04;756154;Honda F-150
50;368;filial_3;07-04-2022 07:03:54;636477;Kia Accord
51;126;filial_3;12-04-2022 04:52:45;640573;Honda Model S
52;396;filial_1;25-03-2022 07:55:42;880595;Dodge XTS
53;445;filial_2;03-03-2022 09:25:48;154086;Aston Martin Fiesta
54;37;filial_2;06-03-2022 07:48:47;679882;Mini Escalade
55;269;filial_1;12-04-2022 03:08:00;278426;Cadillac Wrangler
56;311;filial_2;16-04-2022 09:10:36;82328;Cadillac Golf
57;184;filial_1;22-03-2022 07:43:20;821900;Audi Taurus
58;133;filial_2;29-04-2022 10:50:59;593126;Chevrolet F-150
59;231;filial_3;27-05-2022 05:45:24;406936;Nissan Model T
60;378;filial_1;20-05-2022 03:33:34;74664;Aston Martin Taurus
61;457;filial_3;11-05-2022 10:43:14;691854;Jeep F-150
62;366;filial_3;15-05-2022 09:53:30;229722;Bentley CTS
63;451;filial_2;24-03-2022 02:36:11;339610;Bentley Aventador
64;239;filial_2;13-02-2022 09:34:42;670991;Jeep Golf
65;167;filial_1;28-05-2022 10:44:52;912376;Chrysler Silverado
66;346;filial_3;21-02-2022 11:44:47;235333;Chrysler Alpine
67;201;filial_2;03-03-2022 07:50:56;486870;Rolls Royce Mercielago
68;460;filial_2;16-03-2022 11:46:11;444677;Mini XTS
69;382;filial_1;03-04-2022 10:16:29;861697;Jaguar A4
70;492;filial_3;23-05-2022 05:33:36;695701;Porsche Malibu
71;82;filial_1;02-02-2022 11:22:54;342183;Fiat Challenger
72;100;filial_1;21-03-2022 05:49:04;210864;Volkswagen Element
73;23;filial_3;21-05-2022 05:27:36;141554;Bugatti Charger
74;493;filial_2;20-02-2022 08:55:14;778609;Toyota Colorado
75;452;filial_2;27-04-2022 06:23:32;863223;Honda Focus
76;102;filial_2;05-02-2022 08:16:32;516862;Cadillac Mercielago
77;463;filial_3;04-05-2022 12:11:04;322267;Jeep Durango
78;174;filial_2;18-05-2022 03:16:36;224314;BMW Mercielago
79;327;filial_2;18-04-2022 06:19:42;829345;Jeep F-150
80;232;filial_2;13-05-2022 05:34:11;893656;Chevrolet Impala
81;456;filial_3;28-02-2022 07:29:50;891453;Mercedes Benz Explorer
82;371;filial_2;21-03-2022 01:25:51;133139;Mercedes Benz Fiesta
83;342;filial_3;23-05-2022 12:31:03;103712;Aston Martin Fiesta
84;234;filial_3;01-02-2022 10:52:45;729271;Tesla Cruze
85;438;filial_3;28-05-2022 01:46:21;897123;Jeep Spyder
86;311;filial_1;03-02-2022 11:24:30;375935;Hyandai Altima
87;412;filial_2;23-03-2022 05:59:54;696557;Volkswagen Accord
88;421;filial_1;24-02-2022 05:43:45;994321;Ferrari Model 3
89;249;filial_1;02-02-2022 08:03:26;454175;Bugatti Grand Cherokee
90;367;filial_3;08-03-2022 09:57:56;315018;Hyandai PT Cruiser
91;188;filial_1;15-03-2022 05:15:10;191737;Fiat Durango
92;4;filial_2;28-05-2022 05:11:49;438031;Chevrolet Impala
93;315;filial_2;08-02-2022 12:42:30;117536;BMW Cruze
94;286;filial_3;06-03-2022 07:04:41;348231;Rolls Royce Camry
95;349;filial_3;06-05-2022 01:52:19;566606;Rolls Royce LeBaron
96;231;filial_3;21-03-2022 07:17:33;241171;Land Rover Model T
97;287;filial_3;26-04-2022 08:33:41;654414;Tesla Camry
